Map Analyzer Report — mauville.json (140x120)
Generated: 2026-04-11T17:52:46.373Z

Spawn: (72, 58)
Collision-walkable tiles: 3180 / 16800
Reachable from spawn:     1463 / 3180 (46%)
Articulation points:      52
Safe placement tiles:     1410

Legend:
  @ spawn       L landmark     N npc      P wild pokemon
  S sign        ! hidden item  * chokepoint (articulation)
  . reachable   o orphaned walkable        # collision

     0         1         2         3         4         5         6         7         8         9         0         1         2         3         
     01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789
  0: #########################################################oooooooo########oo##ooooo##o##############oo##########o#####oo#####################
  1: ########################################################oooooo###############ooooo##o##############oo##########o#####oo#####################
  2: ########################################################ooooooo############oooooooooo##############oo##########o#####oo#####################
  3: #######################################################ooooooooooo###########oooooooo##############oo##########o#####oo#####################
  4: #######################################################ooooooooooooo#########oooooooo##############oo##########o#####oo#####################
  5: ###########################################################ooooooooo###########ooooo###############oo##########o#####oo#####################
  6: ##############################################################oooooo###########oooo################oo##########o#####oo#####################
  7: #################################################################oooo###########ooo################oo##########o#####oo#####################
  8: ################################################################ooooo###########ooo################oo##########o#####oo#####################
  9: ##################################################################ooN.##########ooo################oo##########o#####oo#####################
 10: ####################################################################**##########ooo################oo##########o#####oo#####################
 11: ####################################################################*N...#######ooo################oo##########o#####oo#####################
 12: ##################################################################..*..#*.######oooo###############oo##########o#####oo#####################
 13: #################################################################..##....#########oo###############oo##########o#####oo#####################
 14: ##############################################################.*...##...*.#########o###############oo##########o#####oo#####################
 15: ##############################################################P..........P#########################oo##########o#####oo#####################
 16: ################################################################...........########################oo##########o#####oo#####################
 17: ##################################################################.........########################oo##########o#####oo#####################
 18: ############################################################N...###......##########o###############oo##########o#####oo#####################
 19: ############################################################.*.*****.....#..#######################oo##########o#####oo#####################
 20: #######################################################################..**.#####oo################oo##########o#####oo#####################
 21: ##################################################################P###....#########################oo##########o#####oo#####################
 22: ###############################################################o##o###....#########################oo##########o#####oo#####################
 23: #####################################################oo###########o##....**.#####.#################oo##########o#####oo#####################
 24: #####################################################o#########N##S#.....###.*...*.################oo##########o#####oo#####################
 25: ############################################################.**.........###P#......################oo##########o#####oo#####################
 26: ##############################################################...........#S#.......################oo##########o#####oo#####################
 27: ##############################################################.......##........####################oo##########o#####oo#####################
 28: ####################!#################################ooo#######.....N#.......#####################oo##########o#####oo#####################
 29: ######################################################oooo########...........######################oo##########o#####oo#####################
 30: #########################################################ooooooo###...P.....#######################oo##########o#####oo#####################
 31: #####################################################################.....#########################oo##########o#####oo#####################
 32: #######################################################################...####oo###################oo##########o#####oo#####################
 33: #####################################################################.*...#########################oo##########o#####oo#####################
 34: ##################################################################o###....###o#####################oo##########o#####oo#####################
